title,author,company,price,imageUrl,summary
2026 권은성 ZOOM 전공체육 스포츠교육학,권은성,박문각,21600,https://image.yes24.com/goods/140293770/XL,"『2026 권은성 ZOOM 전공체육 스포츠교육학』은 교원 임용후보자 선정경쟁시험을 준비하는 예비 체육교사들을 위해 집필된 기본서이다. 본서는 학습 효율을 높이기 위해 스포츠교육학의 핵심을 체계적으로 정리하였으며, 키워드별로 기출사항을 표시하여 출제 비중을 살필 수 있도록 구성하였다. 또한 복잡한 개념을 직관적으로 이해할 수 있도록 다양한 표와 그림을 배치하였다. 특히 2026 개정판에서는 측정통계평가를 분리하여 스포츠교육학에 더욱 초점을 맞추었으며, 부록으로 국가 교육과정의 핵심을 실었다. 수험생들은 본서를 통해 교원임용시험 합격에 도달할 수 있을 것이다."
2025 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),해커스 GSAT 취업교육연구소,해커스잡,21600,https://image.yes24.com/goods/140293615/XL,"한 권으로 최신기출유형부터 실전까지 3일 완성!
온라인 GSAT 수리/추리 영역 완벽 대비!
GSAT 최신기출유형 공략부터 실전까지! 전략적 학습으로 단기 합격. GSAT 완전 정복! 체계적인 3단계 학습 시스템. 합격 가능성을 높이는 취약 유형 극복 프로그램. 다양한 학습 콘텐츠로 전략적 학습 가능! GSAT 전 영역 필수이론과 삼성 시사 이슈를 한 권에! [GSAT 핵심 정리 핸드북]."
2025 해커스공무원 함수민 행정법총론 진도별 모의고사,함수민,해커스공무원,18000,https://image.yes24.com/goods/140293553/XL,"『2025 해커스공무원 함수민 행정법총론 진도별 모의고사』는 실제 시험과 유사한 형태로 구성한 진도별 문제들을 통해 출제포인트를 익히고 실전감각을 키울 수 있는 문제풀이 교재입니다. 2025년 7, 9급 공무원 / 국회직 / 군무원 / 소방 시험 대비! 공무원 행정법총론 최신 출제경향을 반영했다. 시험장에서 마주할 실전을 그대로 보여주는 진도별 모의고사 16회분을 수록했다. 상세한 문제풀이와 연관 개념 정리 다 되는 알찬 해설을 담았다. 함께 정리하기와 유제를 활용한 공무원 행정법총론 학습 마무리. 학습 효율을 높이고, 취약점까지 파악할 수 있는 무료 모바일 자동 채점 + 성적 분석 서비스를 제공한다."
2025 해커스공무원 국(局)경제학 15개년 기출문제집,김종국,해커스공무원,42300,https://image.yes24.com/goods/140293529/XL,공무원 경제학의 기출문제와 상세한 해설을 통해 출제 포인트를 익히고 실전 감각을 키울 수 있는 문제 풀이 교재. 2025년 공무원 경제학 시험 대비! 최근 15개년 경제학 주요 기출문제 직렬-연도별 수록. 출제POINT 제시+ 상세한 문제풀이 + 연관 개념 정리 다 되는 만능 해설. 경제학 빈출 계산문제 108제 및 기출변형문제 575제 수록. 다회독에 최적화된 구성으로 학습 효과 극대화.
해커스 토익 실전 LC+RC 3 (모의고사+해설집),해커스 어학연구소,해커스어학연구소,17010,https://image.yes24.com/goods/140293414/XL,"2024년 하반기 출제경향 완벽 반영!
최신 경향을 반영한 실전모의고사 5회분으로 토익 실전 완벽 대비!
2024년 하반기 출제경향과 난이도를 완벽 반영한 실전모의고사 5회분으로 실전 감각을 극대화할 수 있다. [최신 토익 경향] 코너를 통해 최근 출제 포인트를 파악하고 실전에 대비할 수 있다. 친절하고 자세한 해설을 통해 모든 문제를 확실하게 이해할 수 있다. [6가지 버전의 MP3]를 제공하여 토익 실전에 완벽하게 대비할 수 있다. [수준별 맞춤 학습플랜+점수 환산표+Review 체크리스트]로 맞춤형 학습 관리가 가능하다."
컴선생 여우님 컴퓨터와 인사하기 윈도우 11,해람북스 기획팀,해람북스,9000,https://image.yes24.com/goods/140293360/XL,"“컴퓨터 방과후 수업 전문교재”
「컴선생 여우님」 시리즈는 컴퓨터에 대해 모르는 것이 없는 선생님이 똑 부러지게 컴퓨터를 가르친다는 콘셉트로 구성된 컴퓨터 방과후 수업 전문교재입니다.
지나친 따라하기를 배제하여 교재의 페이지를 줄이고 선생님 재량껏 수업을 진행할 수 있도록 다양하고 재미있는 예제를 수록하였습니다. 초등학생의 가방에 쏙 들어갈 수 있도록 작은 판형과 교재의 무게를 가볍게 하였으며 각 교재마다 ‘학습지도안’ 등을 마련하여 표준 학습 모델을 제공하고 있습니다."
내 사랑 조카,박현정,목수책방,17100,https://image.yes24.com/goods/140293335/XL,"《내 사랑 조카 - 평범한 고모의 특별한 그림 일기》는 이런 책입니다! 
뇌 손상을 입고 태어난 장애인 조카를 오빠 부부와 함께 돌보게 된 작가가 하루하루 주어진 시간을 충실하게 살아 내는 조카와 보낸 일상을 글과 그림으로 기록했다. ‘조카를 돌보며 나를 돌보았다’고 고백하는 고모와 세상 그 어떤 아이보다 용감한 조카의 상부상조 성장기를 통해 ‘돌봄’의 의미를 묻는 따뜻한 그림책이다."
MASTER'S CHOICE 수리수문학,강태우,에듀피디(EDUPD),45000,https://image.yes24.com/goods/140293325/XL,7급 토목직 공무원·공기업 시험대비 교재.
슬기로운 주담대,김호선,열린인공지능,10500,https://image.yes24.com/goods/140293295/XL,"부동산 구매를 꿈꾸고 있지만, 복잡한 대출 과정에 망설이고 계신가요?
『슬기로운 주담대』는 그런 당신을 위한 완벽한 가이드이다. 이 책은 담보 대출의 모든 것을 쉽게 이해하고 적용할 수 있도록 돕는 실용적인 안내서이다. 『슬기로운 주담대』는 아파트 구매를 꿈꾸는 초보자들을 위한 필독서이다. 복잡한 금융 용어와 절차에 대한 두려움을 날려줄 최고의 안내서이다. 슬기로운 주담대는 단순한 대출 안내서를 넘어, 여러분의 첫 집을 손에 넣는 여정을 함께하는 동반자가 될 것이다. 부동산 구매라는 큰 결정을 앞두고 있다면, 이제 더 이상 두려워하지마라! 이 책과 함께라면, 당신의 꿈의 집이 가까워질 것이다."
2025 기합 화학 기출문제집,박찬혁,서울고시각,21600,https://image.yes24.com/goods/140293118/XL,공무원 시험을 준비하면서 기출문제는 아주 중요하다. 기출문제는 학습의 방향을 제시하여 출제경향과 방향을 알 수 있는 기준이 되기 때문이다. 이 책으로 반복 학습을 하다 보면 화학의 흐름을 손쉽게 알 수 있고 실제 출제된 다양한 문제들을 접해봄으로써 스스로 출제경향과 난이도를 파악할 수 있을 것이다. 본 교재로 학습하는 수험생에게 합격의 영광이 있기를 바란다.
오늘을 살아요 눈이 부시게,홍은주,열린인공지능,20000,https://image.yes24.com/goods/140293111/XL,"이 책을 통해 독자들은 일상의 소중함을 재발견하고, 작은 변화들을 통해 더 풍요롭고 의미 있는 삶을 살아갈 수 있을 것이다. '눈이 부시게' 살아간다는 것이 특별한 누군가의 이야기가 아닌, 바로 자신의 이야기가 될 수 있음을 깨닫게 될 것이다. 또한, 친근한 문체와 실천 가능한 팁들로 인해 폭넓은 독자층의 공감을 얻을 수 있을 것으로 기대된다."
추락,J. M. 쿳시,문학동네,13950,https://image.yes24.com/goods/140292718/XL,"존재의 중추신경을 건드리는 작가 J. M. 쿳시에게
사상 최초 두번째 부커상을 안겨준 대표작
아파르트헤이트 종식 이후 남아프리카의 보이지 않는
균열에 대한 첨예한 사고
 
2003년 노벨문학상
1999년 부커상
2015년 가디언 선정 최고의 소설 100
2019년 BBC 선정 가장 영향력 있는 소설
“사랑, 성, 정치의 한계만이 아니라 인간성 자체의 한계를 시험한다.”
_보이드 톤킨(1999년 부커상 심사위원)
쿳시는 소설을 ”사유의 한 방식“으로 생각하고, 인류 역사에서 이런저런 형태로 존재해온 제국주의, 식민주의, 권력, 성, 인종, 동물 등의 다양한 문제들을 심오하게 형상화해 차원 높은 경지로 끌어올린 작가다. 그의 소설에서 지적 향기와 품격이 느껴지는 것은 그래서다. 『추락』은 그가 쓴 소설 중에서 최고 중의 최고인 소설이다. 영국 BBC 방송이 선정한 ‘죽기 전에 읽어야 할 100권의 책’에 이 소설이 포함된 것은 당연한 일이다. 그만큼 예술적 완성도가 높은 소설이라는 말이다. 이 소설은 우리에게 예술에서 숭고미가 무슨 의미인지를 느끼게 할 정도로 잘 짜이고 잘 쓰였다. 비애와 비극의 정조가 배어 있는 장엄하고 숭고한 아름다움이 느껴지는 소설이라고나 할까. _왕은철(번역가)
“존재의 중추신경을 건드리는 작가”이자 “종달새처럼 솟구쳐 독수리처럼 내려다보는 상상력을 지닌 작가”로 불리며 남아프리카공화국을 대표하는 거장으로 꼽히는 J. M. 쿳시의 대표작 『추락』이 문학동네 세계문학전집 256번으로 출간된다. 『야만인을 기다리며』 『철의 시대』 『마이클 K의 삶과 시대』 등 쿳시의 작품들을 꾸준히 번역하고 소개해온 왕은철 번역가의 번역으로, 2000년 국내에 처음 소개된 이후 24년 만에 번역을 다듬어 새롭게 선보인다. 
『추락』은 아파르트헤이트 종식 이후 백인 정권에서 흑인 정권으로 권력이 이양된 남아프리카공화국을 배경으로, 추문에 휩싸여 추락한 중년의 백인 교수가 자신과 딸의 명예를 위해 분투하는 이야기를 그렸다. 쿳시는 이 작품으로 한 작가에게 두 번 수여하지 않는다는 전례를 깨고 사상 최초 두번째 부커상을 수상했다. 1999년 부커상 심사위원장 레럴드 코프먼은 “후기식민주의 이후 인류에게 일어난 일들에 대한 우화”라고 평했으며, 1999년 부커상 심사위원 중 한 명인 보이드 톤킨은 “사랑, 성 정치의 한계만이 아니라 인간성 자체의 한계를 시험”하는 작품이라고 말했다."
빗방울 목걸이,존 에이킨,햇살과나무꾼,15300,https://image.yes24.com/goods/140292704/XL,"상상력의 보물창고 존 에이킨의 어린이를 위한 판타지 모음집 걸작
실루엣 그림의 거장 존 피에코프스키 일러스트로 정식 출간! 
영국 어린이문학의 대표작가 존 에이킨의 상상력 넘치는 단편모음집 『빗방울 목걸이』가 마침내 얀 피엔코프스키의 실루엣 일러스트 판본으로 출간되었습니다. 세계 어린이문학 거장들이 빚어낸 판타지 명작으로, “어린이의 책꽂이에 꼭 있어야 할 책”으로 평가받는 작품입니다. 빗방울이 하나씩 늘어날수록 마법이 더해지는 빗방울 목걸이, 하늘 한 귀퉁이가 들어가 온 세상을 날아다니는 파이, 이스트를 먹고 몸이 고래만큼 부푼 빵집 고양이, 외다리로 서서 주인의 뒤를 껑충껑충 쫓아다니는 외다리 집, 낙타 열두 마리를 싣고 하늘을 나는 조각보 이불 등, 존 에이킨의 기발한 아이디어와 문학성으로 빚어낸 여덟 편의 판타지는 우리 마음에 행복과 행운을 마법처럼 불러옵니다. 여기에 얀 피엔코프스키의 실루엣 일러스트들은 독자의 상상력에 불꽃을 일으킵니다."
루카스와 함께하는 색소폰 교실,루카스,그래서음악,16200,https://image.yes24.com/goods/140292703/XL,"오랜 기간 아마추어부터 전공자에 이르기까지 다양한 분들을 가르치며 얻은 저자만의 노하우를 바탕으로 만들어진 색소폰 교본이다. 색소폰을 처음 시작하는 분들에게 보다 쉽게 연주를 시작할 수 있도록 간단명료하게, 꼭 필요한 부분만 다루었다. 책의 뒷부분에는 중급자 이상을 위한 내용도 다루었고 마지막에 수록된 연주곡 파트는 다양한 난이도로 구성되어 있어 본인의 난이도에 맞는 곡을 찾아 연습할 수 있다."
인강으로 합격하는 전기안전기술사 [기출+예상문제집],양재학,성안당,70200,https://image.yes24.com/goods/140292701/XL,"24년 기출문제 풀이 및 타기술사 핵심기출 수록
인강으로 합격하는 “전기안전기술사 기출·예상문제집”
수 십권의 책을 발간하면서 종합적으로 정리한 데이터베이스를 통해 기술사 시험에 단번에 합격할 수 있는 최적의 구성으로 집필하였다. 또한 저자가 직접 강의하는 인터넷 강의를 통해 방대한 양의 이론을 능률적으로 학습할 수 있도록 하였다. 산업인력공단의 출제범위와 산업안전보건법에 공표된 출제영역을 근간으로 전기안전기술사의 기출문항을 매우 세밀하게 분석하였다. 이를 통해 기출문제의 유사성을 파악하여 전기안전기술사의 논술문항은 암기 우선→이해 후순→실천 연습하는 방식이 가장 효율적인 전략임을 판단하여 이를 수행할 수 있는 최적의 구성을 도모하였다. 또한 24년 기출문제를 풀이를 수록하여 실제 시험을 대비할 수 있도록 하였고 다른 종목 기술사의 최근 기출문제들을 분석하여 최신 출제 트렌드를 파악할 수 있도록 구성하였다."
한강 격류,김용출,한울,20000,https://image.yes24.com/goods/140292693/XL,"한강을 이루는 물결들
지난 12월 초, 작가 한강이 노벨문학상을 수상했다. 이 책은 작가 한강의 삶과 문학세계를 들여다보는 논픽션이다. 작가 한강의 시선에서, 때로는 한 인간으로서의 한강을 바라보는 이의 시선으로 쓴 책이다. 그녀로 하여금 때로는 나무 같고 때로는 격류 같은 문장을 쓰게 한 동력은 무엇이었을까. 어린 시절 집 안이 어두워지는 것도 모르고 읽은 책들, 내 방식의 글을 쓰고 싶다는 습작 시절의 다짐, 역사를 마주하였을 때 격류처럼 일었던 무언가…. 
책에서 자주 언급되는 한강의 인터뷰, 그녀와 가까운 이들의 인터뷰 등에는 마치 과거의 한강이 잠깐 다녀간 듯이 그녀의 모습이 묻어 있다. 그런 깊은 인터뷰들과 언론에 보도된 사실들을 망라하여 한강의 문학세계를 이루는 물결들을 펼쳐놓았다."
전지적 독자 시점 11~12 세트,싱숑,에이템포미디어,28800,https://image.yes24.com/goods/140292605/XL,"누적 조회 수 1억 뷰,
레전드 판타지 웹 소설 마침내 웹툰으로.
총 연재 횟수 3,149회
평균 조회 수 1.9회
평균 댓글 수 1.08개
10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.
소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.
이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.
단, 한 사람의 독자를 위한 이야기다.
[지금부터 메인 시나리오가 시작됩니다.]"
전지적 독자 시점 12,싱숑,에이템포미디어,14400,https://image.yes24.com/goods/140292415/XL,"누적 조회 수 1억 뷰,
레전드 판타지 웹 소설 마침내 웹툰으로.
총 연재 횟수 3,149회
평균 조회 수 1.9회
평균 댓글 수 1.08개
10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.
소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.
이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.
단, 한 사람의 독자를 위한 이야기다.
[지금부터 메인 시나리오가 시작됩니다.]"
회사 때려 치우고 카페 합니다 8,펩티드,파피루스(디앤씨미디어),8100,https://image.yes24.com/goods/140292360/XL,"야근에 잔업, 죽어라 일만 하던 어느 날
할아버지가 돌아가셨다는 연락을 받았다
하지만 회사의 반응은 싸늘한 업무 지시뿐
“이런 X같은 회사, 내가 나간다.”
그렇게 사표를 던지고 내려온 고향
할아버지가 남긴 카페로 장사나 하려는데
이 카페, 뭔가 심상치 않다?
─상태 : 만성 피로, 극도의 스트레스
〉김하나의 손재주
“뭔가 이상한 게 보이는데?”
손님의 고민을 해결하고 재능을 물려받자
바쁜 일상 속의 단비 같은 힐링이 시작된다!"
전지적 독자 시점 11,싱숑,에이템포미디어,14400,https://image.yes24.com/goods/140292290/XL,"누적 조회 수 1억 뷰,
레전드 판타지 웹 소설 마침내 웹툰으로.
총 연재 횟수 3,149회
평균 조회 수 1.9회
평균 댓글 수 1.08개
10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.
소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.
이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.
단, 한 사람의 독자를 위한 이야기다.
[지금부터 메인 시나리오가 시작됩니다.]"
명왕회귀 14,상현,파피루스(디앤씨미디어),8100,https://image.yes24.com/goods/140292097/XL,"바람처럼 전장을 휩쓰는 명왕(明王), 위지연
하지만 그에게 남은 것은 후회로 점철된 삶뿐
처절한 삶을 살아온 그에게 찾아온 기적
[네게 후회를 바로잡을 기회를 주마.]
눈을 뜨자 보이는 어린 시절의 손
아직 파괴되지 않은 단전
아직 멸망하지 않은 가문
‘이번 생에서는 절대 후회하지 않겠어.’
더 이상 후회와 번뇌를 남기지 않기 위한
명왕의 행보에 천하가 진동한다!"
슈퍼푸드,유현민,백만문화사,19800,https://image.yes24.com/goods/140291073/XL,"‘슈퍼푸드’라는 용어는 미국의 저명한 영양학 박사 스티븐 플렛에 의해 처음 언급되어 지금은 건강을 증진시키는데 도움이 되고 영양소가 매우 풍부한 음식들을 지칭하는 일반적인 말이 되었다. 이러한 슈퍼푸드들은 각각 차이는 있지만 높은 영양가를 지녔으며 면역력 증진, 항암 효과, 노화 방지, 성장기 발육에 도움이 되는 성분들이 보통 음식들에 비해 아주 많이 함유되어 있다는 공통점을 가지고 있다. 그렇다면 슈퍼푸드를 선정하는 가장 중요한 기준이 무엇일까? 바로 항산화 물질이 얼마나 있는가가 중요한 포인트이다. 우리의 호흡을 통해 들어온 산소는 일부가 불안정한 상태의 활성 산소로 변하고 이는 우리 몸의 세포에 손상을 일으킨다. 이러한 효과를 억제하는 것이 항산화 물질이다. 이 책에서는 슈퍼푸드들의 여러 가지 효능과 올바른 섭취 방법에 대해서 자세히 설명하고 있다."
북천전기 30,천봉,파피루스(디앤씨미디어),8100,https://image.yes24.com/goods/140290733/XL,"무협의 대가, 천봉
그가 써 내리는 새로운 무협!
「북천전기」
백야벌(白夜閥)의 팔대가문 중
북부무림을 지배하는 철혈가(鐵血家)의 차남, 이연후
그는 위대한 가문의 적자로 태어났으나
후계자인 형에게 걸림돌이 된다는 이유로 버림받고 쫓겨나는데……
“지켜보십시오. 아버지가 내쳤던 아들이
만들어 갈 철혈가의 세상을…….”
잊혀진 적자의 귀환,
감히 누구도 맞서지 못할 위대한 군주의 탄생,
그가 이끄는 북천(北天)의 포효에 천하가 진동한다!"
"우리 지금, 어디에",지인,바른북스,15120,https://image.yes24.com/goods/140290689/XL,"이 책은 마음공부와 자기계발 분야의 핵심 내용들을 정리한 저자의 노트이자 에세이이다. 타인에게 휘둘리고, 지치고, 지루한 삶을 꿋꿋이 살아가는 독자들에게 당신은 참 소중하다고 따듯한 말을 건네고 있다. 삶에서 길을 잃었던 저자는 자신만의 길을 찾아가는 과정을 이야기하며 인생의 내비게이션을 활용할 방법을 제시하고 있다. 현 위치-경로-목적지의 순서로 자신의 삶을 돌아보게 만들며, 건강한 관계를 통한 내면 성장으로 자신만의 목적지에 다가가는 방법에 대해 이야기한다. 위로받고 싶은 날, 혼자라는 생각에 외로운 날, 자신에 대해 알고 싶은 날, 이제는 정말 변화해야겠다는 생각이 드는 그 어떤 날들에, 혼자 조용한 곳에 앉아 들춰보기를 추천한다."
우리 아이를 위한 자존감 수업,임영주,초록북스,16200,https://image.yes24.com/goods/140290675/XL,"아이의 인생을 바꾸는 자존감, 
부모에게 달렸다!
어린 시절 형성된 자존감은 아이가 성장해서도 행복하고 긍정적인 삶을 살아가는 데 중요한 역할을 한다. 자존감이 높은 아이는 인간관계도 원만하며 자기 할 일도 주체적으로 잘 해낸다. 그러나 아이에게 좋은 말로만 교육하기가 쉽지 않다. 아이를 잘 훈육하면서도 자존감을 높이는 양육법은 무엇일까?
이 책은 아이의 자존감을 키워주는 대화법을 다룬 자녀교육 지침서로, 다양한 저술과 강연 활동을 해온 부모교육 전문가인 저자가 자녀교육 현장에서 일어난 수많은 사례와 관찰을 바탕으로 아이의 자존감을 키우는 노하우를 담아낸 책이다. 저자는 아이의 공부도, 인성도, 창의성도, 리더십도 모두 자존감과 직결되어 있어 자존감이 높은 아이가 행복하다고 말하며, 아이의 자존감 형성은 부모의 양육 태도에 달려 있다고 말한다. 아이의 자존감은 사랑하는 사람에 의해 가장 크게 영향을 받기 때문이다. 부모가 무심코 내뱉은 말 한마디가 아이의 자존감을 깎아내릴 수도, 칭찬의 말 한마디가 아이의 자존감을 키울 수도 있는 것이다. 
그만큼 부모가 아이를 어떤 태도로 대하느냐가 굉장히 중요하며, 고집부리는 아이, 내성적이고 소심한 아이, 거칠고 공격적인 아이 등 아이의 기질과 성격에 따라 부모의 태도는 달라져야 한다. 우리 아이의 자존감을 높이기 위해서는 거창한 것을 하기보다도 아이가 이미 지니고 있는 선한 본성을 지켜주고, 아이가 가진 그 자체를 인정해주는 것이 가장 중요하다. 아이의 타고난 자존감의 싹을 뽑지 않고, 공들여 쌓아가는 자존감의 탑만 무너뜨리지 않아도 자존감은 자라난다. 
책에서는 아이의 성격에 따른 유형별 대화법을 일상 속 대화 장면과 함께 제시하며, 아이의 자존감을 키우면서도 부모가 보다 편안하게 아이를 양육할 수 있는 마음가짐과 대화 팁을 공유한다. 실용적이고 육아에 바로 적용이 가능한 다양한 방법들을 중간중간 ‘TIP’으로 요약 제시해, 아이들의 말에서 핵심어를 짚어내 피드백하는 ‘핵심어 공감법’, 아이의 반항심을 줄이는 ‘긍정 조건부’ 화법 등 유용한 대화법을 일상에서 곧바로 쉽게 적용할 수 있도록 했다. 이 책을 통해 아이의 마음속까지 보듬어주는 현명한 부모가 되어, 아이를 인정하고 아이의 자존감을 키워주는 맞춤형 육아법을 배울 수 있을 것이다."
고마워요,이시노리,초록귤(우리학교),25200,https://image.yes24.com/goods/140290593/XL,"“책을 덮는 순간 다시 펼치고 싶다!”
독보적인 프랑스 예술가 듀오 이시노리 그림책 국내 최초 출간
원서의 색감을 오롯이 살린 한국-프랑스 출판사 공동 제작 
페이지마다 쌓아 올린 매혹적인 선과 색채의 아름다움 
독보적인 시선으로 응시한, 오직 두 마디로만 엮어 올린 170여 개의 순간
세계적인 프랑스 예술가 듀오 이시노리의 국내 첫 그림책 『고마워요』가 출간되었다. 마유미 오테로, 라파엘 위르빌레 두 사람으로 이루어진 이시노리는 르몽드, 뉴욕타임스, 포브스, 프랑스 국립박물관연합, 루이 비통, 키엘 등과 꾸준히 협업해 왔으며 두 번의 볼로냐 라가치상 픽션 부문 스페셜 멘션에 선정된 바 있다. 특히 루이 비통 북 컬렉션인 『트래블 북 서울』은 깊이 있는 독창성, 전통과 현대의 조우로 크게 주목받았다.
『고마워요』는 양말과 유리컵처럼 일상의 작은 사물부터 계절, 풍경, 고요와 속삭임 그리고 무서움에 이르기까지 우리 삶의 매 순간을 이시노리만의 놀랍도록 섬세하고 매혹적인 선과 색채로 포착해 낸 책이다. 170여 쪽을 가득 채운 일러스트는 독자를 단숨에 풍성한 이미지의 향연으로 데려가 책을 덮는 순간 다시 펼치고 싶게 만든다. 이시노리를 처음 만나는 독자들을 위해 탁월한 에디토리얼 디렉터이자 다정한 그림책 안내자인 최혜진 작가가 번역과 해설을 맡았고, 원 작업의 색감을 오롯이 살리기 위해 한국-프랑스 출판사가 공동 제작했다.
이 책 속에는 마치 세상에 처음 당도한 아이처럼 세상을 응시하는 시선과 오직 두 마디의 글과 이미지의 결합만으로 일상을 환히 비추는 감사가 가득하다. 『고마워요』는 그림책을 정성스레 아끼는 독자뿐 아니라 이제 막 그림책에 눈 뜬 독자 모두에게 오직 그림책만이 줄 수 있는 고유의 역동과 투명한 감동을 선물할 것이다."
2025 전국 안경점 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,215100,https://image.yes24.com/goods/140290491/XL,"전국 안경점·안경원 주소록을 지역별로 10,840건, 안경산업 주소록을 분야별, 지역별로 15,462건, 안경업체 상세정보를 업종별, 지역별로 1,424건, 안과 병·의원 주소록을 지역별로 4,279건을 수록했다."
2025 국가직·지방직 9급 공무원 시험 영어 모의고사 1,원패스 스파르타,노력과땀,13500,https://image.yes24.com/goods/140290130/XL,"2025년 국가직·지방직 9급 공무원 수험생을 위한 교재. 2025년부터 공무원 영어 시험의 출제 기조가 기존의 문법과 어휘 중심에서 독해와 문장 이해 능력, 실제 생활에서 쓰이는 영어 표현과 논리적 사고력 평가로 변경됨에 따라, 수험생들이 실전 감각을 익히며 기출 유형에 익숙해지도록 이를 반영한 모의고사와 해설서 12회 수험서이다. 철저한 출제 경향 분석과 검증된 학습법을 바탕으로 제작된 본 교재는 실전에 강한 문제 해결력을 키우는 데 초점을 맞추고 있다."
2025 로스쿨 민법정리,박승수,에듀비,74000,https://image.yes24.com/goods/140289950/XL,"이번 25년 개정판에서도 변호사 시험문제들과 24년 법전협 출제문제들까지 철저히 분석하여 반복하여 출제되는 판례지문들을 위주로 본서 내용에 실었으며 출제가능한 최근 판례사안을 BOX로 사례화하여 편입함으로써 기본서와 사례의 통일적인 해결이 가능하도록 하였다. 또한, 기출된 부분은 해당부분에 변호사선택?24, 변호사사례?24, 사시 사례 기출, 법무사 사례 기출 등으로 특정하여 중요부분을 집중적으로 공부할 수 있도록 하였다. 최근판례는 2024. 11. 15.자 판례공보에 실린 판례들 중 중요하고 출제가능한 판례들 100여 개를 선별하여 모두 본서의 해당부분에 반영하였다. 특히 공동저당과 명의신탁의 채권자취소권를 분리해서 정리했으며, 집행법 부분을 부동산 강제집행과 채권 강제집행으로 나누어 출제가능한 판례들로만 정리해서 개정하였다."
